Job Role ID,Job Role Title,Job Role Description,Job Role Identifier,Job Role Skills and Experience,Job Role Created Date,Job Role Modified Date,CLIENT_NAME,CLIENT_REGION
33,Executive Assistant - Adelaide,"Provide executive assistance to executive leadership team (ELT) including CEO, CFO, Group HR Manager, Board Chair and remaining Senior Leadership Team (SLT) members as required. Organize board meetings by scheduling, preparing agendas, and distributing meeting materials. Take minutes during meetings and distribute them to relevant parties. Ensure the company complies with legal and regulatory requirements. Maintain corporate records, including board resolutions and company policies. Act as a point of contact between the board, executives, and stakeholders. Support the ELT and SLT in calendar management and appointment scheduling. Provide domestic and international travel booking support. Coordinate visits and communication with guests, officials and investors. Schedule meetings and events including catering, venue and materials. Host international investors and guests as required on behalf of the ELT. Some personal assistant activities for the ELT as required. Ensure offices are well presented, stocked and serviced at all times including managing related service contracts. Maintain action list for leadership team and follow up completion of items as required. Coordinate relevant projects for the ELT/SLT as required. Coordinate translation and preparation of company documents in conjunction with the company translator.",Executive Assistant - Adelaide,"Degree Qualifications in related field preferredDemonstrated experience as a Executive Assistant/Company SecretaryAble to work independently and self-guidedPractical and efficient work method with a positive, solutions focused and supportive attitudeExperience understanding and applying (Board) legal and regulatory requirementsExcellent relationship building, liaison and people engagement skillsSound verbal and written communication skills in EnglishExcellent adaptability and able to work under pressureExposure preparing Board documents and minutesMust be able to travel as required and work flexible hours including evenings and weekends",2026-07-01 23:47:00+00:00,2026-07-06 02:59:11+00:00,balco,SYD
25,Community Development Officer,"Position objectivesThe position is responsible for the development of social capital and capacity through the empowerment of communities to create safe, resilient, connected and inclusive societies.Key responsibility areasDesign, develop, deliver (project manage) and evaluate community development projects, programs and services in line with Council plans and strategiesEngage, oversee and coordinate consultants, key stakeholders and community to deliver plans, projects and activities.Deliver actions from internal and external (state) policies and strategies.Inform and support the writing, monitoring and reporting for external grant funding opportunities.Design (including policy development), manage, administer, and promote Council’s grants program.Inform and support the development of council reports, budget summaries and department planning.Engage in emergency management, relief and recovery planning, training and activities when relevant.Perform, as directed, other duties that are within the limits of the incumbents’ skill, competence and training.",Community Development Officer,"Qualifications and experienceDegree or Diploma qualified in Community Development, Public Health, Health Promotion or Social Science with experience, or extensive relevant experience in a similar role i.e. youth work, social work, community services, community developmentPrevious experience in the preparation of reports, program proposals, grants and acquittalsSelection criteriaPrevious experience in project planning, implementation, evaluation and dissemination of results.Ability to communicate effectively and appropriately with diverse range of stakeholders, including community and employees.Demonstrated ability to work in a team environment and positively contribute to the team.",2026-03-23 23:20:55+00:00,2026-05-08 04:45:50+00:00,ngshire,SYD
257,Senior HR Business Partner,"PurposeThe Senior HR Business Partner (HRBP) is a strategic advisor and trusted partner to senior leaders, aligning business objectives with people strategies. This role drives organisational effectiveness, builds leadership capability, and fosters a high-performance culture through proactive talent management and data-driven HR solutions. The Senior HRBP partners closely with leadership teams to develop workforce strategies, manage complex employee relations matters, and guide organisational change.Responsibilities  Strategic HR PartnershipCollaborate with business leaders to identify workforce needs and develop aligned HR strategies.Serve as a thought leader on talent planning, succession, and workforce design.Partner with leaders to support organisational design, transformation, and change initiatives.Talent Management & DevelopmentCoach and guide managers on performance management, career development, and team effectiveness.Support and drive initiatives related to learning & development, employee engagement, and leadership development.Lead succession planning and talent review processes for assigned business units.Employee Relations & ComplianceManage complex employee relations issues, investigations, and conflict resolution.Ensure HR policies and practices are applied fairly and consistently in compliance with applicable laws and regulations.Act as a trusted advisor for sensitive employee matters.Workforce Planning & AnalyticsUse data and people analytics to identify trends, risks, and opportunities within the business.Deliver strategic solutions across all aspects of Human resources, including recruitment, training and workplace health and safety.Organisational Culture & EngagementChampion initiatives that drive employee engagement and foster an inclusive, high-performing workplace.Advise leaders on communication strategies and change management to enhance employee experience.Workplace Health & Safety (WHS)Ensure a safe and compliant workplace in line with legislation and organisational policies.Partner with operational leaders and direct reports to identify, assess, and manage risks in the workplace.Promote a proactive safety culture through training, awareness campaigns, and leadership engagement.Return to Work Coordination (RTWC)Serve as one of the primary Return to Work Coordinator for the organisation.Assist in developing, implementing, and monitoringRTW plans for employees following injury or illness (work-related and non-work-related).Liaise with employees, managers, medical practitioners, and insurers to facilitate safe and sustainable return to work outcomes. HR GraduateProvide day-to-day supervision, guidance, and support to the HR Graduate, ensuring clarity of priorities, workload, and development objectives.Coach and mentor the HR Graduate to build capability across core HR functions, including recruitment, onboarding, training coordination, compliance, and employee lifecycle processes.Allocate meaningful work and projects that support both business outcomes and the Graduate’s professional development, ensuring exposure to a broad range of HR activities.Review and monitor the HR Graduate’s performance, providing regular feedback, conducting development discussions, and supporting achievement of learning and performance goals.Ensure the HR Graduate maintains accurate documentation, data integrity, and confidentiality across all HR systems and processes.Support the HR Graduate’s transition into the business by fostering strong working relationships with branch leaders and key stakeholders. Contribute to succession planning by developing the HR Graduate’s capability to support future workforce and HR operational needs.  Additional RequirementsRegular travel will be required across group business units and operational locations to support leadership teams and their branches.",Senior HR Business Partner,"Qualifications & ExperienceEducation & ExperienceBachelor’s degree in human resources, Business, or a related discipline (Master’s or postgraduate HR qualification desirable).7–10 years of progressive HR experience, including senior advisory or business partnering roles.Previous experience in WHS and/or injury management coordination (WHS certifications desirable).Knowledge of applicable employment and WHS legislation, including workers compensation frameworks.Skills & CompetenciesStrong knowledge of HR, safety, and injury management legislation and practices.Strategic thinker with the ability to influence and build credibility across all levels.Excellent interpersonal, communication, and conflict resolution skills.High level of discretion and emotional intelligence.Strong organisational and project management capabilities. DesirableMembership of the Australian Human Resources Institute (AHRI).",2025-09-03 00:41:13+00:00,2026-06-12 00:32:31+00:00,emmetts,SYD
30,Human Resource Advisor,The Human Resource Advisor is responsible for supporting the Manager People and Culture in the development and function of human resources across the organisation.,HRA,"Minimum of three (3) years employment experience in a Human Resource role
 Experience using a range of information technology systems and software and proven ability to learn new systems with ease
 Creative problem-solving skills with the ability to provide practical solutions for complex issues
 Excellent communication skills with the ability to develop strong working relationships with people at all levels of the organisation
 Strong interpersonal skills including coaching, negotiating and influencing
 Demonstrated ability to handle sensitive and highly personal information on a daily basis and maintain confidentiality in a mature and non-judgmental manner
 Sound knowledge of the requirements of the Fair Work Act and National Employment Standards
 Capacity to engage constructively and respectfully with diverse cultural backgrounds and genders, and to achieve mutually beneficial outcomes 
 Commitment to best practice HR service delivery and support and the tenacity to follow up
 Demonstrated ability to manage conflicting priorities to deliver against agreed deadlines in a fast-paced environment 
 High level of computer competency in Microsoft Office applications (Outlook, Word, Excel)
 Experience in maintaining employee records and producing HR metric data reports (leave liabilities, training liabilities, employee data, etc)
 Relevant tertiary qualification in Human Resources or business (Desirable)
 Knowledge of the Social, Community, Home Care and Disability Services Award 2010 (Desirable)
 Previous experience in a non-Government, not-for-profit or human service environment (Desirable) 
 Familiarity with ELMO software (Desirable)",2026-05-25 01:00:50+00:00,2026-05-25 01:00:50+00:00,cccsa,SYD
1,Administration Assistant,"The purpose of this position is to provide general office administration support services to the Distribution Operations and Finance teams, responding to calls from external and internal customers, general office support and support of field staff members with general enquiries.",Administration Assistant,"Essential:


	Attention to detail and accurate data entry
	Computer skills including the use of Word and Excel 
	Planning and coordination skills
	Methodical approach to work management
	Ability to work in a discrete, confidential and ethical manner.
	Strong internal and external customer focus",2025-09-09 06:04:10+00:00,2025-10-13 22:17:10+00:00,electra,SYD
116,Supervisor - Mechanical Assembly (Antenna),"MAIOA Classification: Supervisor/Trainer/Coordinator Level 1MF.PRPO.M1 Job Responsibilities:Undertake hand soldering, winding, crimping, assembly, gluing and packing of antennas and associated partsUndertake frequency testing of antennas to ensure optimal performance and adherence to quality standards.Maintain cleanliness and organization of the work area to ensure a safe and efficient working environment.Undertakes basic quality control/assurance procedures including the ability to recognise basic quality deviations/faults;Utilises basic statistical process control procedures.Undertakes regular general housekeeping of your workspace / department.Undertake training in accordance with the compliance programs. ",Supervisor - Mechanical Assembly (Antenna),"Skills Required: Have a safe work focus with knowledge of safe work practises relevant to your role, (e.g. safe manual handling techniques).Must be organised and detail-oriented, able to meet deadlines.Demonstrated ability to work in a team environment and get along with work colleagues.Excellent attention to detailExperience:Previous experience in a manufacturing rolePrevious experience in production of electronic products is highly desirable.Qualifications, Certifications and Memberships Required:Highschool or Diploma or minimum experience of 3 months in relevant position. ",2024-12-02 23:38:51+00:00,2025-12-17 03:32:42+00:00,gmeau,SYD
91,Partner,"As a Partner, your role will involve being a part owner in a business or firm. This will involve sharing responsibility for the overall success of the business, making strategic decisions, and contributing to business development efforts. Additionally, you will be responsible for managing staff, overseeing financial performance, and ensuring that the business operates within legal and ethical boundaries.",PR,"Strong leadership and management skills, with the ability to lead teams and manage projects to deliver high-quality results on time and within budget
	Excellent communication and interpersonal skills to build relationships with clients and stakeholders and influence decision-making
	Strong analytical and problem-solving skills to identify issues and recommend solutions to complex problems
	Experience in developing and implementing business strategies and plans that align with organisational goals and objectives
	Knowledge of financial management principles and practices, including budgeting, forecasting, and financial analysis
	Experience in recruiting and managing staff, including providing coaching and mentoring to support their development and enhance their performance
	Continuous learning and development mindset to stay updated with the latest trends and best practices in the industry or field
	Bachelors or Masters degree or equivalent work experience.",2025-01-21 04:35:47+00:00,2025-01-21 04:35:47+00:00,csmgold1,SYD
254,Site Manager,,JR326,,2025-01-10 22:21:19+00:00,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
37,Physiotherapist,"Functions of the Role This position is pivotal in improving the physical functioning and quality of life for our clients. The role involves assessing, treating, and rehabilitating clients with various age-related conditions, such as frailty, musculoskeletal issues, neurological impairments, and mobility limitations. The Physiotherapist collaborates with a multidisciplinary team to create person-centred care plans that promote independence, enhance mobility, and prevent functional decline. Roles and Responsibilities Organisation Works within the role and responsibilities for the position and complies with all organisational policies, regulations and standards, and the Code of Conduct; Maintains professional and technical knowledge by participating in training and development activities; Represents the organisation as the first point of contact via a range of communication methods; Contributes effectively to team effort by accomplishing related results as needed; Always maintains a high level of professionalism. Duties and Tasks Conduct comprehensive assessments of clients' physical function, including mobility, balance, strength, pain management, and posture; Managing a wide variety of client presentations across various funding areas including Support at Home Program (S@H), Commonwealth Home Support Program (CHSP), and NDIS; Identify risk factors for falls, immobility, and other physical challenges, and develop tailored physiotherapy care plans; Work with clients, their families and care team to set realistic rehabilitation goals that enhance independence and mobility; Ensure that care plans are regularly reviewed and updated to reflect changes in the clients' condition and/or goals; Assess and manage clients' pain, including implementing strategies for pain relief that optimise mobility and quality of life; Provide evidence-based physiotherapy treatments and interventions to address functional decline, improve mobility, and enhance quality of life; Implement strength, flexibility, and coordination exercises to improve clients' function and prevent the risk of falls; Assist with the rehabilitation of clients recovering from surgery, illness, or injury, including post-stroke, post-fracture, or post-surgical rehabilitation; Educate clients', their families and care team on appropriate exercises and strategies to maintain functional mobility and prevent future health issues; Conduct falls risk assessments and implement falls prevention strategies, including balance and strength training, education, and environmental modifications; Recommend and prescribe appropriate mobility aids (e.g., walkers, canes, wheelchairs) and train clients and team members in their use; Assess and adjust the home environment to enhance mobility and reduce falls risks; Provide manual handling training to team members. Other Ensures a strong customer service focus through responsive, effective customer engagement;Contributes effectively to organisational events and activities; Work closely with other health professionals (e.g., occupational therapists, nurses, doctors, dietitians) to ensure holistic care for clients;Actively participate in case conferences, multidisciplinary team meetings, and care reviews; Share expertise in physiotherapy with other team members through training and supervision, ensuring all team members understand the physiotherapy approach to care;Engage in ongoing professional development to stay up to date with best practice guidelines, treatment techniques, and regulatory changes in aged care.",PD-0092,"Tertiary qualification in Physiotherapy; Current registration with the Australian Health Practitioner Regulation Agency (AHPRA); Ability to meet the requirements of Criminal History screening procedures; Current Drivers Licence; Current First Aid and CPR certificate; Experience working in an aged care setting, is highly desirable; Sound knowledge of aged care legislation, accreditation standards, and physiotherapy practices for older adults; Experience in assessing and managing conditions common in aged care, such as musculoskeletal issues, neurological disorders (e.g., stroke, Parkinson's), and post-surgical rehabilitation;Ability to develop and deliver individualised treatment plans based on evidence-based practices.",2025-10-20 23:48:57+00:00,2025-11-04 00:34:16+00:00,rangecare,SYD
121,Tiler,"As a Tiler at Company Name, you will play a crucial role in enhancing the aesthetic appeal and functionality of various spaces through your expertise in tile installation. You will be responsible for ensuring that all tiling work is completed to the highest standards, contributing to the overall quality of our projects.Your main responsibilities will include:Measuring and marking surfaces for tiling according to project specifications.Cutting tiles to size using appropriate tools and techniques.Preparing surfaces for tile application by cleaning, smoothing, and applying adhesives as necessary.Installing tiles in various patterns and layouts, ensuring alignment and uniformity.Grouting and sealing tiles to protect against moisture and enhance durability.Collaborating with other tradespeople to ensure a seamless workflow on-site.Maintaining tools and equipment in good working condition.Adhering to health and safety regulations at all times while working on-site.This position requires attention to detail, precision, and an eye for design, as well as the ability to work independently or as part of a team. Your contribution will be vital in delivering high-quality tiling solutions that meet client expectations and project deadlines.",TILE,"Required skillsProficient in various tiling techniques including ceramic, porcelain, and natural stone.Strong attention to detail for precise measurements and tile placement.Ability to read and interpret blueprints and technical drawings.Skilled in using hand tools and power tools related to tiling work.Knowledge of different adhesives, grout types, and sealing products.Excellent problem-solving skills and ability to work independently.Required experiencesA minimum of 3 years experience in professional tiling or a related field.Proven track record of successful tile installation on residential and commercial projects.Experience in preparing surfaces for tiling, including measuring, cutting, and fitting tiles accurately.Previous involvement in renovation projects is an advantage.Familiarity with health and safety regulations relevant to construction sites.",2025-08-15 00:27:44+00:00,2026-03-16 22:23:25+00:00,golddemosite3,SYD
