Assignment Rule ID,COURSE_ID,Assignment Rule Name,Assignment Rule Description,Assignment Rule Created Date,Assignment Rule Modified Date,Assignment Rule Is Active,Assignment Rule Is Confirmed,Assignment Rule Is Required Course,Assignment Rule Is Recommended Course,CLIENT_NAME,CLIENT_REGION
40,23,New Team Member Induction - CARARRA (V4) - Obsolete,Replaced by Induction Suite Adding: Personal Protective Equipment (PPE) Policy Acknowledgement,,,True,True,True,False,aea,SYD
5,7,People leader,Any role that has people reporting,,,True,True,True,False,cardinia,SYD
172,976,Rail Fire Emergency Technician,Rail Fire Emergency Technician,,,True,True,True,False,sydneymetro,SYD
16,8,Member Services,,,,True,True,True,False,qbank,SYD
56,98,CCP Vehicle Pawns Policy,This policy provides guidelines to ensure best practice assessment and management of vehicle pawns.,,,False,True,True,False,cashconverters,SYD
93,2733,WA - Pilbara Port Authority (PPA),Additional courses required from Sarah Hopkins,,,True,True,True,False,msssecurity,SYD
48,10,MPS Laboratory Staff,Mandatory ELMO modules for laboratory staff per MPS-PP-0003,,,True,True,True,False,sonic,SYD
4,68,Site based Security Personnel,,,,True,True,True,False,wicetcontractor,SYD
23,158,Apprentice Evidence Collection,,,,True,True,True,False,emmetts,SYD
260,1002,Infrastructure & Enterprise Applications Manager (TNA) 2025,Infrastructure & Enterprise Applications Manager (TNA) 2025,,,True,True,True,False,sydneymetro,SYD
9,42,Mandatory Training Refresher 2025 (Managers),Auto-assign mandatory training refresher 2025 training for managers.,,,False,True,True,False,automicgroup,SYD
1024,10953,BPH - (2018/07) Nursing Administration,Mandatory Training Requirements for new staff commencing with the Nursing Administration/Nurse bank,,,True,True,True,False,healthscope,SYD
66,41,HW - SUP430,Clinical Lead Nurse,,,False,True,True,False,anglicaresa,SYD
374,2598,ICM Sydney eLearns for Melbourne by ID#,ICM Sydney eLearns allocated to Melbourne learners with Casino Special Employee Licence-NSW as determined by Sydney compliance team by ID# as their position title may have more than one incumbent or they have yet to change their position title. Related ICM eLearns from ICM Program: Customer Service plus ICM 2: Conflict of Interest,,,True,True,True,False,crownlearn,SYD
106,93,DS - OP723,Speech Pathologist,,,False,True,True,False,anglicaresasandbox,SYD
