ANSWER_ID,JOB_APPLICATION_ID,Questions Category,Questions Question,Questions Answer,CLIENT_NAME,CLIENT_REGION
54272,5635,Application,"I have read, understood and consent to the privacy statement .",I Agree,cooperenergy,SYD
63071,10292,Application AU,"If you are not a citizen or permanent resident please indicate your visa type. If you are a citizen / permanent resident simply indicate ""NA"".",NA,brightfoodgroup,SYD
95117,3876,Asmuss Application,"Have you had any ACC claim(s) which could affect your ability to do this job? If YES, please provide details. Enter N/A if not applicable","<p>Yes I had an ACL reconstruction roughly 10 years ago</p>
",asmuss,SYD
133865,4246,Application,"I ::FIRSTNAME:: ::LASTNAME:: declare that to the best of my knowledge the information provided in this application and supporting documents are true and accurate. I acknowledge that Wellington Free Ambulance will undertake any role relevant background checks if I am the preferred candidate, and that WFA may check the validity of my qualifications relevant to the position applied for. I further acknowledge that WFA requires proof of my immunisation status and/or records prior to employment, if I am the preferred candidate.",I Agree,wfa,SYD
23960,2201,Application AU,"If you are not a citizen or permanent resident please provide details of your visa type, expiry date, and working hours restrictions if any. If you are a citizen / permanent resident simply indicate NA","<p>N/A</p>
",guidedogs,SYD
9396,995,Screening,BSAPASO KSC4. Proven ability to work efficiently and discretely in a sensitive and confidential environment,N/A,moira,SYD
4333,3564,Application,A criminal history check forms part of the recruitment process for shortlisted candidates. Please acknowledge that you are aware of this and are willing to participate if needed.,"""No, I do not wish to proceed with my application""",alkathgroup,SYD
290165,10051,The Trusts - Application,Are your legally entitled to work in New Zealand?,"""Yes, I have a student visa""",thetrusts,SYD
55026,5326,Application SA,Please provide your base (annual) salary expectations:,"<p>R15000</p>
",petsure,SYD
168311,22986,Application AU,Do you have the right to work unrestricted hours in Australia? Please note if you are an Australian citizen / permanent resident or NZ citizen you should answer YES to this question.,Yes,simoneperele,SYD
108506,8918,Application,What motivated you to apply for this position?,"<p>I&#39;m passionate about providing compassionate care to seniors and believe this role offers a valuable opportunity to make a positive impact on residents&#39; lives.&nbsp;</p>
",ballycara,SYD
7480,639,Application,Are you an existing employee of Forbes Shire Council or have you worked at Forbes Shire Council previously?,Yes,forbesshirecouncil,SYD
109078,11623,Application,Please briefly describe your experience with automation tools and which ones you have used.,Na,automicgroup,SYD
19095,7499,Screening,Which role are you recommending this person for?,"<p>BDM</p>
",covermore,SYD
96245,9532,Application,"If you have been referred to the ::POSITION:: by an employee of PetSure, please let us know who that was:",N/A,petsure,SYD
154347,11582,Candidate Screening Questions (All roles),What are your salary expectations for this position?,"""$40,000 - $50,000""",mercyhospital,SYD
7156,2176,Screening Application,"If you have an appropriate work permit, please confirm: Type of Permit Expiry Date of Permit",,gbauto,SYD
30877,3868,Application,Are you willing to undergo a National Police Clearance at your own cost?,Yes,accesshardware,SYD
203606,76057,Application,Do you have a current Australian driver&#39;s license?,Yes,supagas,SYD
9782,2132,Application,Please provide an overview of why you are applying for this position and what skills and experience you have that align to the role?,"<p>My previous skills and experience aligns very well with this role and I believe I can make a positive contribution.</p>
",rasv,SYD
156234,19269,Application,Are you a permanent resident or Australian citizen?,Yes,blackdog,SYD
165805,12296,Application,Do you have any of the following current certificates? (check all that are applicable),"First Aid level 2,WWCC or Blue Card,NDIS Worker Screening Check,Assist with medication,Manual Handling",mmtcare,SYD
103046,12023,MACS Screening & Application,Data collection. Your details will be retained on our database for a period of 12 months unless you advise us otherwise during which time you may be considered and contacted for any other suitable positions that may arise.,I agree to MACS holding my details on file for 12 months.,cem,SYD
145965,8245,Application,"Are you available to work Full Time, Part Time or Casual?",Full Time,unicefau,SYD
10317,2331,Sunpork - Screening,"Have your ever worked for the SunPork Group (or any of it&#39;s entities including Swickers, SunPork Farms or SP Northern Farming)?",No,sunporkgroup,SYD
