Acknowledgement ID,USER_ID,COURSE_ID,ENROLMENT_ACTIVITY_ID,Acknowledgement Title,Acknowledgement Text,Acknowledgement Introduction,Acknowledgement Created Date,Acknowledgement Modified Date,Acknowledgement Checked Date,CLIENT_NAME,CLIENT_REGION
27,239,955,3709,Code of Conduct,I have been provided with and have read the Environment Canterbury Code of Conduct.,"This Code of Conduct has been developed to guide you through the standards and behaviours that are expected of our staff and contractors. It sets out our expectations based on four key principles; that you are fair, impartial, responsible and trustworthy. There is an expectation that you will adhere to these standards alongside those set out in your employment agreement and our corporate policies. Click the blue text above to view the code of conduct and to acknowledge that you agree adhere by it.
",2017-07-20 00:30:23+00:00,2017-09-07 22:48:40+00:00,2019-05-13 04:12:04+00:00,ecan,SYD
37,2972,1006,64859,Puna Kōrero Treasure Hunt,I confirm I have read and completed these tasks.,Click 'View' below to complete this Day One task.,2018-08-17 01:31:12+00:00,2021-07-08 23:40:46+00:00,2022-05-24 05:12:54+00:00,ecan,SYD
30,173,31,1662,Sponsorship Policy,I acknowledge that I have read and understood the Sponsorship Policy,Sponsorship Policy ,2024-10-22 06:23:26+00:00,2024-10-22 06:23:26+00:00,2024-11-07 11:22:05+00:00,enel,SYD
1986,38410,934,225625,HSP Policy 6.15b Aggression Management for staff in the Community,I agree,"
HSP Policy 6.15b Aggression Management for staff in the Community
I have read and acknowledge it is my responsibility to abide by the information in this document.
",2015-10-11 09:38:58+00:00,2015-10-11 09:38:58+00:00,2016-09-30 11:43:23+00:00,healthscope,SYD
5,34294,6,1292110,Wilson Security Induction - Acknowledgement,"I understand that I can report discrimination, harassment, bullying or any other inappropriate behaviour to my Manager or HR team",Seeks acknowledgement that the staff member understands the information within the induction.,2014-03-14 04:42:00+00:00,1970-01-01 00:00:00+00:00,2018-08-10 03:36:56+00:00,wilson,SYD
91,524,187,7607,Acknowledgement,I confirm that I have completed the KLA Environmental Awareness Course,"
",2017-03-16 02:11:49+00:00,2017-03-16 02:11:49+00:00,2019-10-07 22:29:12+00:00,kalms,SYD
99,391,338,189959,1. Purpose and Scope,I have read and understand this section of the policy.,"Pedal Group encourages the use of AI in our business, within guardrails to protect sensitive data. This policy sets out how to use AI effectively while protecting sensitive company and customer data. You are responsible for protecting sensitive company information, following data protection laws, and company policies. Actions of AI are done with your approval, in your name. The purpose of this policy is to establish clear guidelines for the safe, ethical, and secure use of AI tools by all Pedal Group employees, contractors, and partners. This policy should be read in conjunction with the Pedal Group Cyber Security Policy - when using AI tools or any other software, you are bound by cyber security policies. ",2026-05-27 05:01:05+00:00,2026-05-27 06:03:31+00:00,2026-06-10 02:57:20+00:00,thepeloton,SYD
208,778,263,33118,Module,I have completed the Tutorial,"This tutorial covers essential topics, including an overview of an intranet, recommended browser settings, and the differences between a storefront and a workspace. You'll learn how to access and navigate your branch workspace, manage files within it, and collaborate and share files effectively both internally and externally.",2024-09-03 21:27:41+00:00,2024-09-10 23:33:55+00:00,2024-10-30 22:08:28+00:00,rothbury,SYD
243,2510,1085,1582854,eLearn & Checklist,Followed email instructions from FranklinCovey to complete the 360 feedback survey,The 4 Essential Roles of Leadership (4ERLs) Overview,2021-07-29 01:54:05+00:00,2021-08-06 02:36:02+00:00,2021-10-24 23:58:54+00:00,ndia,GOV
308,29867,82,,ACHA Recognition and Response to the Deteriorating Patient Learning Package 2015,I agree,"
ACHA Recognition and Response to the Deteriorating Patient Learning Package 2015
I have read and acknowledge it is my responsibility to abide by the information in this document.
",2015-10-11 09:19:07+00:00,2015-10-11 09:19:07+00:00,2016-02-27 05:05:25+00:00,healthscope,SYD
17,206,17,841,Health Surveillance and Monitoring Policy,I have read and understood School Bus Logistics Health Surveillance and Monitoring Policy,Click on the policy below to download in PDF format. Please open and review the document before proceeding to the acknowledgement.If you cannot view the document please contact your manager for assistance.,2025-02-18 06:38:01+00:00,2025-02-19 03:02:14+00:00,2026-06-24 10:58:45+00:00,schoolbuslogistics,SYD
5,11775,6,,Wilson Security Induction - Acknowledgement,"I understand that all incidents must be reported, as soon as possible, through my reporting chain",Seeks acknowledgement that the staff member understands the information within the induction.,2014-03-14 04:42:00+00:00,1970-01-01 00:00:00+00:00,2015-11-21 03:09:35+00:00,wilson,SYD
6527,51534,10580,3514046,Updated Perioperative Policies  October 2017,I have read  the October 2017 updated Perioperative Policies  and understand   the necessary requirements  outlined  in them,"Please read  and sign off these  attached policies  that  have been updated after consultation  with Leadership group  in the Operating Theatre
",2017-10-25 03:13:50+00:00,2017-10-25 03:14:22+00:00,2017-11-14 01:18:32+00:00,healthscope,SYD
8,24191,24,860567,Discrimination and EEO,"I have read, and understand, the information contained in Wilson Security's Managing Diversity Policy.",Acknowledgement of Wilson Security's Managing Diversity Policy.,2014-05-15 01:52:32+00:00,1970-01-01 00:00:00+00:00,2017-02-17 01:28:43+00:00,wilson,SYD
9,18492,25,739555,Workplace Bullying and Occupation Violence,"I understand that if I experience, witness, or hear about, inappropriate behaviour, I must report it to my Manager or HR.",Acknowledgement of Wilson Security's Managing Diversity Policy.,2014-05-15 02:01:31+00:00,1970-01-01 00:00:00+00:00,2016-11-14 10:13:38+00:00,wilson,SYD
